Date,Seaweed,Start Time,End Time,Mid-point Time,,Production rate (ug/g FW hr),Production rate (ng/g FW hr),PAR (max),,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,7:55:00 AM,9:45:00 AM,8:50:00 AM,,0.0092,9.18,115,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,7:55:00 AM,9:45:00 AM,8:50:00 AM,,0.0147,14.69,115,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,7:55:00 AM,9:45:00 AM,8:50:00 AM,,0.0113,11.27,115,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,9:50:00 AM,11:50:00 AM,10:50:00 AM,,0.0222,22.23,1207,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,9:50:00 AM,11:50:00 AM,10:50:00 AM,,0.0194,19.45,1207,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,9:50:00 AM,11:50:00 AM,10:50:00 AM,,0.0206,20.58,1207,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,11:50:00 AM,1:50:00 PM,12:50:00 PM,,0.0202,20.17,1269,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,11:50:00 AM,1:50:00 PM,12:50:00 PM,,0.0313,31.32,1269,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,11:50:00 AM,1:50:00 PM,12:50:00 PM,,0.0302,30.23,1269,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,1:55:00 PM,3:55:00 PM,2:55:00 PM,,0.0216,21.57,1184,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,1:55:00 PM,3:55:00 PM,2:55:00 PM,,0.0295,29.53,1184,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,1:55:00 PM,3:55:00 PM,2:55:00 PM,,0.0346,34.57,1184,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,3:55:00 PM,5:55:00 PM,4:55:00 PM,,0.0185,18.52,207,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,3:55:00 PM,5:55:00 PM,4:55:00 PM,,0.0219,21.94,207,,,,,
,,,,,,,,,,,,,
23-Feb,Gracilaria,3:55:00 PM,5:55:00 PM,4:55:00 PM,,0.0254,25.36,207,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
